Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Volatility;Transaction Volume;Transactions Count
2021-03-04;3.82;3.93;3.64;3.75;376000000.0;3610000000.0;951023748.82;826;1.42;104000000.0;2199074
2021-03-05;3.75;3.75;3.56;3.69;249000000.0;3480000000.0;951052054.55;15747;1.42;115000000.0;2174508
2021-03-06;3.70;3.77;3.60;3.72;222000000.0;3520000000.0;951080361.73;76;1.42;83840000.0;2152338
2021-03-07;3.73;3.85;3.72;3.83;262000000.0;3590000000.0;951108667.09;7734;1.39;94590000.0;2223556
2021-03-08;3.83;3.93;3.74;3.90;323000000.0;3650000000.0;951135779.15;759;1.38;111000000.0;2205827
2021-03-09;3.90;4.19;3.85;4.17;343000000.0;3810000000.0;951163931.22;8773;1.37;159000000.0;2258993
2021-03-10;4.17;4.19;3.90;3.99;338000000.0;3840000000.0;951192059.89;8476;1.37;157000000.0;2492979
2021-03-11;3.99;4.05;3.78;3.95;321000000.0;3750000000.0;951220174.67;8479;1.27;127000000.0;2900800
2021-03-12;3.96;3.99;3.67;3.78;265000000.0;3650000000.0;951248304.67;15821;1.28;138000000.0;2560128
2021-03-13;3.78;4.38;3.68;4.28;398000000.0;3830000000.0;951276400.49;8282;1.27;173000000.0;3015494
2021-03-14;4.28;4.38;3.93;3.93;332000000.0;3940000000.0;951304516.53;762;1.31;126000000.0;2611757
2021-03-15;3.93;4.03;3.72;3.81;513000000.0;3670000000.0;951332631.1;8017;1.18;148000000.0;2913847
2021-03-16;3.81;4.13;3.67;4.07;408000000.0;3760000000.0;951360787.51;8092;1.17;126000000.0;2547464
2021-03-17;4.06;4.10;3.86;4.09;251000000.0;3780000000.0;951388962.46;8296;1.16;133000000.0;2486433
2021-03-18;4.09;4.33;4.06;4.14;451000000.0;3970000000.0;951417120.51;8999;1.17;135000000.0;2558813
2021-03-19;4.14;4.27;4.03;4.14;207000000.0;3980000000.0;951445337.01;15958;1.15;114000000.0;2571252
2021-03-20;4.14;4.50;4.13;4.33;313000000.0;4160000000.0;951473456.08;8697;1.19;142000000.0;2835607
2021-03-21;4.33;4.42;4.12;4.16;261000000.0;4030000000.0000005;951501619.09;7859;1.12;106000000.0;2652855
2021-03-22;4.16;4.35;4.00;4.08;367000000.0;3990000000.0;951529717.98;8767;1.11;149000000.0;2717615
2021-03-23;4.08;4.27;4.04;4.09;264000000.0;3940000000.0;951557852.62;8924;1.09;133000000.0;2719711
2021-03-24;4.09;4.31;3.45;3.69;483000000.0;3760000000.0;951586003.55;10613;1.06;144000000.0;2485888
2021-03-25;3.69;3.78;3.53;3.68;408000000.0;3500000000.0;951614126.76;8956;0.91;117000000.0;2927039
2021-03-26;3.68;4.19;3.67;4.19;611000000.0;3790000000.0;951642251.36;17297;0.99;176000000.0;2849746
2021-03-27;4.19;4.20;3.98;4.09;201000000.0;3900000000.0;952003731.85;7883;1.01;78210000.0;2709123
2021-03-28;4.09;4.22;4.03;4.11;282000000.0;3940000000.0;952031916.4;7043;1.01;124000000.0;2890189
2021-03-29;4.11;4.31;4.06;4.28;247000000.0;4019999999.9999995;952060061.91;7645;1.01;123000000.0;2753511
2021-03-30;4.28;4.41;4.20;4.34;172000000.0;4099999999.9999995;952088209.17;7823;0.99;185000000.0;2743815
2021-03-31;4.34;4.91;4.07;4.81;633000000.0;4250000000.0;952116340;846;0.99;197000000.0;2779370
2021-04-01;4.81;5.98;4.71;5.59;2290000000.0;5020000000.0;952144583.74;9715;1.05;421000000.0;2658426
2021-04-02;5.60;6.35;5.37;6.26;2270000000.0;5560000000.0;952171346.41;8229;1.18;430000000.0;2934151
